city,Quarter,Competitor,Est_Market_Share,Distribution_Reach_%,Price_Positioning,Promotional_Activity,Price_Index_vs_Category,Years_in_Market,Source_Year,Data_Quality_Flag
Nashik,Q1-2023,Hindustan Unilever Ltd,33.7%,81.1,Mass-Premium,Medium,1.11,15.0,2023,OK
Nashik,Q1-2023,Dabur India,14.8%,68.4,Mass,Medium,0.93,12.0,2023,OK
Nashik,Q1-2023,ITC Limited,12.3%,69.7,Mass-Premium,Medium,0.93,10.0,2023,OK
Nashik,Q1-2023,Marico,8.1%,55.4,Premium,High,0.95,8.0,2023,OK
Nashik,Q1-2023,Local/Regional Brands,38.7%,,Value,Medium,1.13,,2023,OK
Nashik,Q2-2023,Hindustan Unilever Ltd,33.9%,83.1,Mass-Premium,Medium,1.08,15.0,2023,OK
Nashik,Q2-2023,Dabur India,15.2%,68.0,Mass,Medium,0.93,12.0,2023,OK
Nashik,Q2-2023,ITC Limited,12.7%,71.1,Mass-Premium,High,0.92,10.0,2023,OK
Nashik,Q2-2023,Marico,8.3%,56.3,Premium,Medium,0.94,8.0,2023,OK
Nashik,Q2-2023,Local/Regional Brands,39.1%,,Value,Low,1.07,,2023,OK
Nashik,Q3-2023,Hindustan Unilever Ltd,32.8%,81.9,Mass-Premium,High,0.99,15.0,2023,OK
Nashik,Q3-2023,Dabur India,15.5%,68.1,Mass,Medium,0.96,12.0,2023,OK
Nashik,Q3-2023,ITC Limited,12.0%,70.7,Mass-Premium,Low,0.95,10.0,2023,OK
Nashik,Q3-2023,Marico,8.5%,56.7,Premium,Low,1.0,8.0,2023,OK
Nashik,Q3-2023,Local/Regional Brands,39.2%,,Value,High,1.08,,2023,OK
Nashik,Q4-2023,Hindustan Unilever Ltd,33.1%,84.5,Mass-Premium,High,0.96,15.0,2023,OK
Nashik,Q4-2023,Dabur India,15.4%,70.5,Mass,Low,1.13,12.0,2023,OK
Nashik,Q4-2023,ITC Limited,12.5%,72.2,Mass-Premium,Medium,0.95,10.0,2023,OK
Nashik,Q4-2023,Marico,9.0%,56.1,Premium,High,1.18,8.0,2023,OK
Nashik,Q4-2023,Local/Regional Brands,39.4%,,Value,High,1.1,,2023,OK
Nashik,Q1-2024,Hindustan Unilever Ltd,32.7%,84.1,Mass-Premium,High,0.89,15.0,2023,OK
Nashik,Q1-2024,Dabur India,15.7%,69.6,Mass,Medium,1.18,12.0,2023,OK
Nashik,Q1-2024,ITC Limited,13.2%,74.0,Mass-Premium,Low,0.99,10.0,2023,OK
Nashik,Q1-2024,Marico,9.1%,56.7,Premium,High,1.01,8.0,2023,OK
Nashik,Q2-2024,Hindustan Unilever Ltd,32.4%,84.0,Mass-Premium,Low,0.95,15.0,2023,OK
Nashik,Q2-2024,Dabur India,16.2%,71.4,Mass,High,0.96,12.0,2023,OK
Nashik,Q2-2024,ITC Limited,12.6%,72.3,Mass-Premium,Low,1.02,10.0,2023,OK
Nashik,Q2-2024,Marico,8.6%,56.5,Premium,Medium,0.91,8.0,2023,OK
Nashik,Q2-2024,Local/Regional Brands,40.9%,,Value,Medium,1.06,,2023,OK
Nagpur,Q1-2023,HUL,36.5%,87.0,Mass-Premium,High,1.06,20.0,2023,OK
Nagpur,Q1-2023,Procter & Gamble,9.9%,59.8,Premium,Medium,1.0,9.0,2023,OK
Nagpur,Q1-2023,Dabur,13.8%,71.0,Mass,Low,1.08,14.0,2023,OK
Nagpur,Q1-2023,ITC Ltd.,11.5%,67.5,Mass,Medium,0.98,11.0,2023,OK
Nagpur,Q1-2023,Local Brands,26.8%,,Value,Medium,1.07,,2023,OK
Nagpur,Q2-2023,HUL,37.1%,87.6,Mass-Premium,Medium,1.05,20.0,2023,OK
Nagpur,Q2-2023,Procter & Gamble,9.8%,60.4,Premium,Medium,1.11,9.0,2023,OK
Nagpur,Q2-2023,Dabur,14.2%,71.7,Mass,Medium,0.91,14.0,2023,OK
Nagpur,Q2-2023,ITC Ltd.,11.7%,68.2,Mass,Medium,0.93,11.0,2023,OK
Nagpur,Q2-2023,Local Brands,27.2%,,Value,Low,1.1,,2023,OK
Nagpur,Q3-2023,HUL,35.8%,89.1,Mass-Premium,High,0.91,20.0,2023,OK
Nagpur,Q3-2023,Procter & Gamble,10.8%,62.0,Premium,Medium,0.93,9.0,2023,OK
Nagpur,Q3-2023,Dabur,14.7%,73.0,Mass,Medium,1.14,14.0,2023,OK
Nagpur,Q3-2023,ITC Ltd.,11.8%,68.9,Mass,Medium,0.97,11.0,2023,OK
Nagpur,Q3-2023,Local Brands,27.9%,,Value,Medium,1.09,,2023,OK
Nagpur,Q4-2023,HUL,35.8%,88.8,Mass-Premium,Medium,1.13,20.0,2023,OK
