Market,Date,SKU_Code,SKU_Name,Category,Units_Sold,MRP_INR,Gross_Revenue_INR,Margin_%,Stockout_Flag,Promo_Period,Promo_Type
Aurangabad,01/01/2023,PC001,Meridian Shampoo 200ml,Personal Care,6957,180,1252260,28.0,N,N,
Aurangabad,01/02/2023,PC001,Meridian Shampoo 200ml,Personal Care,6259,180,1126620,28.0,N,N,
Aurangabad,01/03/2023,PC001,Meridian Shampoo 200ml,Personal Care,6097,180,1097460,28.0,N,N,
Aurangabad,01/04/2023,PC001,Meridian Shampoo 200ml,Personal Care,7118,180,1281240,28.0,N,N,
Aurangabad,01/05/2023,PC001,Meridian Shampoo 200ml,Personal Care,7759,180,1396620,28.0,N,N,
Aurangabad,01/06/2023,PC001,Meridian Shampoo 200ml,Personal Care,6232,180,1121760,28.0,N,Y,Summer
Aurangabad,01/07/2023,PC001,Meridian Shampoo 200ml,Personal Care,6179,180,1112220,28.0,N,N,
Aurangabad,01/08/2023,PC001,Meridian Shampoo 200ml,Personal Care,6382,180,1148760,28.0,N,N,
Aurangabad,01/09/2023,PC001,Meridian Shampoo 200ml,Personal Care,6699,180,1205820,28.0,N,N,
Aurangabad,01/10/2023,PC001,Meridian Shampoo 200ml,Personal Care,10433,180,1877940,28.0,N,Y,Diwali
Aurangabad,01/11/2023,PC001,Meridian Shampoo 200ml,Personal Care,9716,180,1748880,28.0,N,Y,Diwali
Aurangabad,01/12/2023,PC001,Meridian Shampoo 200ml,Personal Care,7590,180,1366200,28.0,N,N,
Aurangabad,01/01/2024,PC001,Meridian Shampoo 200ml,Personal Care,6812,180,1226160,28.0,N,N,
Aurangabad,01/02/2024,PC001,Meridian Shampoo 200ml,Personal Care,6145,180,1106100,28.0,N,N,
Aurangabad,01/03/2024,PC001,Meridian Shampoo 200ml,Personal Care,6941,180,1249380,28.0,N,N,
Aurangabad,01/04/2024,PC001,Meridian Shampoo 200ml,Personal Care,8019,180,1443420,28.0,N,N,
Aurangabad,01/05/2024,PC001,Meridian Shampoo 200ml,Personal Care,8355,180,1503900,28.0,N,N,
Aurangabad,01/06/2024,PC001,Meridian Shampoo 200ml,Personal Care,6811,180,1225980,28.0,N,N,
Aurangabad,01/01/2023,PC002,Meridian Conditioner 150ml,Personal Care,3093,210,649530,31.0,N,N,
Aurangabad,01/02/2023,PC002,Meridian Conditioner 150ml,Personal Care,2857,210,599970,31.0,N,N,
Aurangabad,01/03/2023,PC002,Meridian Conditioner 150ml,Personal Care,3260,210,684600,31.0,N,N,
Aurangabad,01/04/2023,PC002,Meridian Conditioner 150ml,Personal Care,3322,210,697620,31.0,N,N,
Aurangabad,01/05/2023,PC002,Meridian Conditioner 150ml,Personal Care,3536,210,742560,31.0,N,N,
Aurangabad,01/06/2023,PC002,Meridian Conditioner 150ml,Personal Care,2886,210,606060,31.0,N,Y,Summer
Aurangabad,01/07/2023,PC002,Meridian Conditioner 150ml,Personal Care,2941,210,617610,31.0,N,N,
Aurangabad,01/08/2023,PC002,Meridian Conditioner 150ml,Personal Care,3120,210,655200,31.0,N,N,
Aurangabad,01/09/2023,PC002,Meridian Conditioner 150ml,Personal Care,3214,210,674940,31.0,N,N,
Aurangabad,01/10/2023,PC002,Meridian Conditioner 150ml,Personal Care,5161,210,1083810,31.0,N,Y,Diwali
Aurangabad,01/11/2023,PC002,Meridian Conditioner 150ml,Personal Care,4586,210,963060,31.0,N,Y,Diwali
Aurangabad,01/12/2023,PC002,Meridian Conditioner 150ml,Personal Care,3852,210,808920,31.0,N,N,
Aurangabad,01/01/2024,PC002,Meridian Conditioner 150ml,Personal Care,3325,210,698250,31.0,N,N,
Aurangabad,01/02/2024,PC002,Meridian Conditioner 150ml,Personal Care,3178,210,667380,31.0,N,N,
Aurangabad,01/03/2024,PC002,Meridian Conditioner 150ml,Personal Care,3321,210,697410,31.0,N,N,
Aurangabad,01/04/2024,PC002,Meridian Conditioner 150ml,Personal Care,3891,210,817110,31.0,N,N,
Aurangabad,01/05/2024,PC002,Meridian Conditioner 150ml,Personal Care,3911,210,821310,31.0,N,N,
Aurangabad,01/06/2024,PC002,Meridian Conditioner 150ml,Personal Care,3108,210,652680,31.0,N,N,
Aurangabad,01/01/2023,PC003,Meridian Face Wash 100g,Personal Care,4630,150,694500,35.0,N,N,
Aurangabad,01/02/2023,PC003,Meridian Face Wash 100g,Personal Care,4284,150,642600,35.0,N,N,
Aurangabad,01/03/2023,PC003,Meridian Face Wash 100g,Personal Care,4133,150,619950,35.0,N,N,
Aurangabad,01/04/2023,PC003,Meridian Face Wash 100g,Personal Care,5075,150,761250,35.0,N,N,
Aurangabad,01/05/2023,PC003,Meridian Face Wash 100g,Personal Care,4927,150,739050,35.0,N,N,
Aurangabad,01/06/2023,PC003,Meridian Face Wash 100g,Personal Care,4283,150,642450,35.0,N,Y,Summer
Aurangabad,01/07/2023,PC003,Meridian Face Wash 100g,Personal Care,4017,150,602550,35.0,N,N,
Aurangabad,01/08/2023,PC003,Meridian Face Wash 100g,Personal Care,4285,150,642750,35.0,N,N,
Aurangabad,01/09/2023,PC003,Meridian Face Wash 100g,Personal Care,4586,150,687900,35.0,N,N,
Aurangabad,01/10/2023,PC003,Meridian Face Wash 100g,Personal Care,7618,150,1142700,35.0,N,Y,Diwali
Aurangabad,01/11/2023,PC003,Meridian Face Wash 100g,Personal Care,6536,150,980400,35.0,N,Y,Diwali
Aurangabad,01/12/2023,PC003,Meridian Face Wash 100g,Personal Care,5211,150,781650,35.0,N,N,
Aurangabad,01/01/2024,PC003,Meridian Face Wash 100g,Personal Care,5094,150,764100,35.0,N,N,
Aurangabad,01/02/2024,PC003,Meridian Face Wash 100g,Personal Care,4616,150,692400,35.0,N,N,
Aurangabad,01/03/2024,PC003,Meridian Face Wash 100g,Personal Care,4481,150,672150,35.0,N,N,
Aurangabad,01/04/2024,PC003,Meridian Face Wash 100g,Personal Care,5187,150,778050,35.0,N,N,
Aurangabad,01/05/2024,PC003,Meridian Face Wash 100g,Personal Care,5813,150,871950,35.0,N,N,
Aurangabad,01/06/2024,PC003,Meridian Face Wash 100g,Personal Care,4388,150,658200,35.0,N,N,
Aurangabad,01/01/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2721,240,653040,29.0,N,N,
Aurangabad,01/02/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2546,240,611040,29.0,N,N,
Aurangabad,01/03/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2415,240,579600,29.0,N,N,
Aurangabad,01/04/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2887,240,692880,29.0,N,N,
Aurangabad,01/05/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2961,240,710640,29.0,N,N,
Aurangabad,01/06/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2495,240,598800,29.0,N,Y,Summer
Aurangabad,01/07/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2239,240,537360,29.0,N,N,
Aurangabad,01/08/2023,PC004,Meridian Body Lotion 250ml,Personal Care,2291,240,549840,29.0,N,N,
