Market,Date,SKU_Code,SKU_Name,Category,Units_Sold,MRP_INR,Gross_Revenue_INR,Margin_%,Stockout_Flag,Promo_Period,Promo_Type
Mumbai,2023-01-01,PC001,Meridian Shampoo 200ml,Personal Care,45331,180,8159580,28.0,N,N,
Mumbai,2023-02-01,PC001,Meridian Shampoo 200ml,Personal Care,41761,180,7516980,28.0,N,N,
Mumbai,2023-03-01,PC001,Meridian Shampoo 200ml,Personal Care,48020,180,8643600,28.0,N,N,
Mumbai,2023-04-01,PC001,Meridian Shampoo 200ml,Personal Care,50820,180,9147600,28.0,N,N,
Mumbai,2023-05-01,PC001,Meridian Shampoo 200ml,Personal Care,54684,180,9843120,28.0,N,N,
Mumbai,2023-06-01,PC001,Meridian Shampoo 200ml,Personal Care,44442,180,7999560,28.0,N,Y,Summer
Mumbai,2023-07-01,PC001,Meridian Shampoo 200ml,Personal Care,42345,180,7622100,28.0,N,N,
Mumbai,2023-08-01,PC001,Meridian Shampoo 200ml,Personal Care,41182,180,7412760,28.0,N,N,
Mumbai,2023-09-01,PC001,Meridian Shampoo 200ml,Personal Care,47397,180,8531460,28.0,N,N,
Mumbai,2023-10-01,PC001,Meridian Shampoo 200ml,Personal Care,73660,180,13258800,28.0,N,Y,Diwali
Mumbai,2023-11-01,PC001,Meridian Shampoo 200ml,Personal Care,65086,180,11715480,28.0,N,Y,Diwali
Mumbai,2023-12-01,PC001,Meridian Shampoo 200ml,Personal Care,54999,180,9899820,28.0,N,N,
Mumbai,2024-01-01,PC001,Meridian Shampoo 200ml,Personal Care,50225,180,9040500,28.0,N,Y,NewYear-PC
Mumbai,2024-02-01,PC001,Meridian Shampoo 200ml,Personal Care,46177,180,8311860,28.0,N,N,
Mumbai,2024-03-01,PC001,Meridian Shampoo 200ml,Personal Care,48598,180,8747640,28.0,N,N,
Mumbai,2024-04-01,PC001,Meridian Shampoo 200ml,Personal Care,51813,180,9326340,28.0,N,N,
Mumbai,2024-05-01,PC001,Meridian Shampoo 200ml,Personal Care,56906,180,10243080,28.0,N,N,
Mumbai,2024-06-01,PC001,Meridian Shampoo 200ml,Personal Care,45906,180,8263080,28.0,N,N,
Mumbai,2023-01-01,PC002,Meridian Conditioner 150ml,Personal Care,22231,210,4668510,31.0,N,N,
Mumbai,2023-02-01,PC002,Meridian Conditioner 150ml,Personal Care,20009,210,4201890,31.0,N,N,
Mumbai,2023-03-01,PC002,Meridian Conditioner 150ml,Personal Care,21899,210,4598790,31.0,N,N,
Mumbai,2023-04-01,PC002,Meridian Conditioner 150ml,Personal Care,25429,210,5340090,31.0,N,N,
Mumbai,2023-05-01,PC002,Meridian Conditioner 150ml,Personal Care,25257,210,5303970,31.0,N,N,
Mumbai,2023-06-01,PC002,Meridian Conditioner 150ml,Personal Care,21091,210,4429110,31.0,N,Y,Summer
Mumbai,2023-07-01,PC002,Meridian Conditioner 150ml,Personal Care,20924,210,4394040,31.0,N,N,
Mumbai,2023-08-01,PC002,Meridian Conditioner 150ml,Personal Care,20391,210,4282110,31.0,N,N,
Mumbai,2023-09-01,PC002,Meridian Conditioner 150ml,Personal Care,24739,210,5195190,31.0,N,N,
Mumbai,2023-10-01,PC002,Meridian Conditioner 150ml,Personal Care,37066,210,7783860,31.0,N,Y,Diwali
Mumbai,2023-11-01,PC002,Meridian Conditioner 150ml,Personal Care,32039,210,6728190,31.0,N,Y,Diwali
Mumbai,2023-12-01,PC002,Meridian Conditioner 150ml,Personal Care,26139,210,5489190,31.0,N,N,
Mumbai,2024-01-01,PC002,Meridian Conditioner 150ml,Personal Care,23938,210,5026980,31.0,N,Y,NewYear-PC
Mumbai,2024-02-01,PC002,Meridian Conditioner 150ml,Personal Care,23016,210,4833360,31.0,N,N,
Mumbai,2024-03-01,PC002,Meridian Conditioner 150ml,Personal Care,23660,210,4968600,31.0,N,N,
Mumbai,2024-04-01,PC002,Meridian Conditioner 150ml,Personal Care,27899,210,5858790,31.0,N,N,
Mumbai,2024-05-01,PC002,Meridian Conditioner 150ml,Personal Care,26905,210,5650050,31.0,N,N,
Mumbai,2024-06-01,PC002,Meridian Conditioner 150ml,Personal Care,23313,210,4895730,31.0,N,N,
Mumbai,2023-01-01,PC003,Meridian Face Wash 100g,Personal Care,32933,150,4939950,35.0,N,N,
Mumbai,2023-02-01,PC003,Meridian Face Wash 100g,Personal Care,27978,150,4196700,35.0,N,N,
Mumbai,2023-03-01,PC003,Meridian Face Wash 100g,Personal Care,30884,150,4632600,35.0,N,N,
Mumbai,2023-04-01,PC003,Meridian Face Wash 100g,Personal Care,35729,150,5359350,35.0,N,N,
Mumbai,2023-05-01,PC003,Meridian Face Wash 100g,Personal Care,37977,150,5696550,35.0,N,N,
Mumbai,2023-06-01,PC003,Meridian Face Wash 100g,Personal Care,29722,150,4458300,35.0,N,Y,Summer
Mumbai,2023-07-01,PC003,Meridian Face Wash 100g,Personal Care,30027,150,4504050,35.0,N,N,
Mumbai,2023-08-01,PC003,Meridian Face Wash 100g,Personal Care,31496,150,4724400,35.0,N,N,
Mumbai,2023-09-01,PC003,Meridian Face Wash 100g,Personal Care,34700,150,5205000,35.0,N,N,
Mumbai,2023-10-01,PC003,Meridian Face Wash 100g,Personal Care,49713,150,7456950,35.0,N,Y,Diwali
Mumbai,2023-11-01,PC003,Meridian Face Wash 100g,Personal Care,46739,150,7010850,35.0,N,Y,Diwali
Mumbai,2023-12-01,PC003,Meridian Face Wash 100g,Personal Care,35787,150,5368050,35.0,N,N,
Mumbai,2024-01-01,PC003,Meridian Face Wash 100g,Personal Care,37199,150,5579850,35.0,N,Y,NewYear-PC
Mumbai,2024-02-01,PC003,Meridian Face Wash 100g,Personal Care,31940,150,4791000,35.0,N,N,
Mumbai,2024-03-01,PC003,Meridian Face Wash 100g,Personal Care,32360,150,4854000,35.0,N,N,
Mumbai,2024-04-01,PC003,Meridian Face Wash 100g,Personal Care,38538,150,5780700,35.0,N,N,
Mumbai,2024-05-01,PC003,Meridian Face Wash 100g,Personal Care,38642,150,5796300,35.0,N,N,
Mumbai,2024-06-01,PC003,Meridian Face Wash 100g,Personal Care,34781,150,5217150,35.0,N,N,
Mumbai,2023-01-01,PC004,Meridian Body Lotion 250ml,Personal Care,19988,240,4797120,29.0,N,N,
Mumbai,2023-02-01,PC004,Meridian Body Lotion 250ml,Personal Care,17531,240,4207440,29.0,N,N,
Mumbai,2023-03-01,PC004,Meridian Body Lotion 250ml,Personal Care,17421,240,4181040,29.0,N,N,
Mumbai,2023-04-01,PC004,Meridian Body Lotion 250ml,Personal Care,20635,240,4952400,29.0,N,N,
Mumbai,2023-05-01,PC004,Meridian Body Lotion 250ml,Personal Care,20197,240,4847280,29.0,N,N,
Mumbai,2023-06-01,PC004,Meridian Body Lotion 250ml,Personal Care,16657,240,3997680,29.0,N,Y,Summer
Mumbai,2023-07-01,PC004,Meridian Body Lotion 250ml,Personal Care,17484,240,4196160,29.0,N,N,
Mumbai,2023-08-01,PC004,Meridian Body Lotion 250ml,Personal Care,16713,240,4011120,29.0,N,N,
Mumbai,2023-09-01,PC004,Meridian Body Lotion 250ml,Personal Care,19040,240,4569600,29.0,N,N,
Mumbai,2023-10-01,PC004,Meridian Body Lotion 250ml,Personal Care,31973,240,7673520,29.0,N,Y,Diwali
Mumbai,2023-11-01,PC004,Meridian Body Lotion 250ml,Personal Care,25863,240,6207120,29.0,N,Y,Diwali
Mumbai,2023-12-01,PC004,Meridian Body Lotion 250ml,Personal Care,20720,240,4972800,29.0,N,N,
Mumbai,2024-01-01,PC004,Meridian Body Lotion 250ml,Personal Care,21427,240,5142480,29.0,N,Y,NewYear-PC
Mumbai,2024-02-01,PC004,Meridian Body Lotion 250ml,Personal Care,17710,240,4250400,29.0,N,N,
Mumbai,2024-03-01,PC004,Meridian Body Lotion 250ml,Personal Care,20294,240,4870560,29.0,N,N,
Mumbai,2024-04-01,PC004,Meridian Body Lotion 250ml,Personal Care,23064,240,5535360,29.0,N,N,
Mumbai,2024-05-01,PC004,Meridian Body Lotion 250ml,Personal Care,24028,240,5766720,29.0,N,N,
Mumbai,2024-06-01,PC004,Meridian Body Lotion 250ml,Personal Care,19405,240,4657200,29.0,N,N,
Mumbai,2023-01-01,HC001,Meridian Dish Wash 500ml,Home Care,53381,90,4804290,22.0,N,N,
Mumbai,2023-02-01,HC001,Meridian Dish Wash 500ml,Home Care,48250,90,4342500,22.0,N,N,
Mumbai,2023-03-01,HC001,Meridian Dish Wash 500ml,Home Care,54685,90,4921650,22.0,N,N,
Mumbai,2023-04-01,HC001,Meridian Dish Wash 500ml,Home Care,60962,90,5486580,22.0,N,N,
Mumbai,2023-05-01,HC001,Meridian Dish Wash 500ml,Home Care,61532,90,5537880,22.0,N,N,
Mumbai,2023-06-01,HC001,Meridian Dish Wash 500ml,Home Care,49436,90,4449240,22.0,N,Y,Summer
Mumbai,2023-07-01,HC001,Meridian Dish Wash 500ml,Home Care,54713,90,4924170,22.0,N,N,
Mumbai,2023-08-01,HC001,Meridian Dish Wash 500ml,Home Care,54678,90,4921020,22.0,N,N,
Mumbai,2023-09-01,HC001,Meridian Dish Wash 500ml,Home Care,57284,90,5155560,22.0,N,N,
Mumbai,2023-10-01,HC001,Meridian Dish Wash 500ml,Home Care,75272,90,6774480,22.0,N,Y,Diwali
Mumbai,2023-11-01,HC001,Meridian Dish Wash 500ml,Home Care,72651,90,6538590,22.0,N,Y,Diwali
Mumbai,2023-12-01,HC001,Meridian Dish Wash 500ml,Home Care,63122,90,5680980,22.0,N,N,
Mumbai,2024-01-01,HC001,Meridian Dish Wash 500ml,Home Care,56760,90,5108400,22.0,N,Y,NewYear-PC
Mumbai,2024-02-01,HC001,Meridian Dish Wash 500ml,Home Care,54404,90,4896360,22.0,N,N,
Mumbai,2024-03-01,HC001,Meridian Dish Wash 500ml,Home Care,56418,90,5077620,22.0,N,N,
Mumbai,2024-04-01,HC001,Meridian Dish Wash 500ml,Home Care,63527,90,5717430,22.0,N,N,
Mumbai,2024-05-01,HC001,Meridian Dish Wash 500ml,Home Care,68118,90,6130620,22.0,N,N,
Mumbai,2024-06-01,HC001,Meridian Dish Wash 500ml,Home Care,57081,90,5137290,22.0,N,N,
Mumbai,2023-01-01,HC002,Meridian Floor Cleaner 1L,Home Care,41545,120,4985400,24.0,N,N,
Mumbai,2023-02-01,HC002,Meridian Floor Cleaner 1L,Home Care,35258,120,4230960,24.0,N,N,
Mumbai,2023-03-01,HC002,Meridian Floor Cleaner 1L,Home Care,36322,120,4358640,24.0,N,N,
Mumbai,2023-04-01,HC002,Meridian Floor Cleaner 1L,Home Care,43831,120,5259720,24.0,N,N,
Mumbai,2023-05-01,HC002,Meridian Floor Cleaner 1L,Home Care,42711,120,5125320,24.0,N,N,
Mumbai,2023-06-01,HC002,Meridian Floor Cleaner 1L,Home Care,36442,120,4373040,24.0,N,Y,Summer
Mumbai,2023-07-01,HC002,Meridian Floor Cleaner 1L,Home Care,39434,120,4732080,24.0,N,N,
Mumbai,2023-08-01,HC002,Meridian Floor Cleaner 1L,Home Care,42956,120,5154720,24.0,N,N,
Mumbai,2023-09-01,HC002,Meridian Floor Cleaner 1L,Home Care,39160,120,4699200,24.0,N,N,
Mumbai,2023-10-01,HC002,Meridian Floor Cleaner 1L,Home Care,56573,120,6788760,24.0,N,Y,Diwali
Mumbai,2023-11-01,HC002,Meridian Floor Cleaner 1L,Home Care,53616,120,6433920,24.0,N,Y,Diwali
Mumbai,2023-12-01,HC002,Meridian Floor Cleaner 1L,Home Care,42539,120,5104680,24.0,N,N,
Mumbai,2024-01-01,HC002,Meridian Floor Cleaner 1L,Home Care,40888,120,4906560,24.0,N,Y,NewYear-PC
Mumbai,2024-02-01,HC002,Meridian Floor Cleaner 1L,Home Care,38470,120,4616400,24.0,N,N,
Mumbai,2024-03-01,HC002,Meridian Floor Cleaner 1L,Home Care,43376,120,5205120,24.0,N,N,
Mumbai,2024-04-01,HC002,Meridian Floor Cleaner 1L,Home Care,44427,120,5331240,24.0,N,N,
Mumbai,2024-05-01,HC002,Meridian Floor Cleaner 1L,Home Care,47585,120,5710200,24.0,N,N,
Mumbai,2024-06-01,HC002,Meridian Floor Cleaner 1L,Home Care,38151,120,4578120,24.0,N,N,
Mumbai,2023-01-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,31411,85,2669935,21.0,N,N,
Mumbai,2023-02-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,27421,85,2330785,21.0,N,N,
Mumbai,2023-03-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,30286,85,2574310,21.0,N,N,
Mumbai,2023-04-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,34091,85,2897735,21.0,N,N,
Mumbai,2023-05-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,33114,85,2814690,21.0,N,N,
Mumbai,2023-06-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,29492,85,2506820,21.0,N,Y,Summer
Mumbai,2023-07-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,30306,85,2576010,21.0,N,N,
Mumbai,2023-08-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,33618,85,2857530,21.0,N,N,
Mumbai,2023-09-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,31692,85,2693820,21.0,N,N,
Mumbai,2023-10-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,44288,85,3764480,21.0,N,Y,Diwali
Mumbai,2023-11-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,36320,85,3087200,21.0,N,Y,Diwali
Mumbai,2023-12-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,32860,85,2793100,21.0,N,N,
Mumbai,2024-01-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,32437,85,2757145,21.0,N,Y,NewYear-PC
Mumbai,2024-02-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,29499,85,2507415,21.0,N,N,
Mumbai,2024-03-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,30669,85,2606865,21.0,N,N,
Mumbai,2024-04-01,HC003,Meridian Toilet Cleaner 500ml,Home Care,34604,85,2941340,21.0,N,N,
