Market,Date,SKU_Code,SKU_Name,Category,Units_Sold,MRP_INR,Gross_Revenue_INR,Margin_%,Stockout_Flag,Promo_Period,Promo_Type
Pune,2023-01-01,PC001,Meridian Shampoo 200ml,Personal Care,14961,180,2692980,28.0,N,N,
Pune,2023-02-01,PC001,Meridian Shampoo 200ml,Personal Care,14008,180,2521440,28.0,N,N,
Pune,2023-03-01,PC001,Meridian Shampoo 200ml,Personal Care,14841,180,2671380,28.0,N,N,
Pune,2023-04-01,PC001,Meridian Shampoo 200ml,Personal Care,16897,180,3041460,28.0,N,N,
Pune,2023-05-01,PC001,Meridian Shampoo 200ml,Personal Care,17189,180,3094020,28.0,N,N,
Pune,2023-06-01,PC001,Meridian Shampoo 200ml,Personal Care,14127,180,2542860,28.0,N,Y,Summer
Pune,2023-07-01,PC001,Meridian Shampoo 200ml,Personal Care,12882,180,2318760,28.0,N,N,
Pune,2023-08-01,PC001,Meridian Shampoo 200ml,Personal Care,13214,180,2378520,28.0,N,N,
Pune,2023-09-01,PC001,Meridian Shampoo 200ml,Personal Care,14815,180,2666700,28.0,N,N,
Pune,2023-10-01,PC001,Meridian Shampoo 200ml,Personal Care,23250,180,4185000,28.0,N,Y,Diwali
Pune,2023-11-01,PC001,Meridian Shampoo 200ml,Personal Care,21453,180,3861540,28.0,N,Y,Diwali
Pune,2023-12-01,PC001,Meridian Shampoo 200ml,Personal Care,17482,180,3146760,28.0,N,N,
Pune,2024-01-01,PC001,Meridian Shampoo 200ml,Personal Care,16381,180,2948580,28.0,N,Y,NewYear-PC
Pune,2024-02-01,PC001,Meridian Shampoo 200ml,Personal Care,15449,180,2780820,28.0,N,N,
Pune,2024-03-01,PC001,Meridian Shampoo 200ml,Personal Care,16673,180,3001140,28.0,N,N,
Pune,2024-04-01,PC001,Meridian Shampoo 200ml,Personal Care,18100,180,3258000,28.0,N,N,
Pune,2024-05-01,PC001,Meridian Shampoo 200ml,Personal Care,18768,180,3378240,28.0,N,N,
Pune,2024-06-01,PC001,Meridian Shampoo 200ml,Personal Care,15306,180,2755080,28.0,N,N,
Pune,2023-01-01,PC002,Meridian Conditioner 150ml,Personal Care,7346,210,1542660,31.0,N,N,
Pune,2023-02-01,PC002,Meridian Conditioner 150ml,Personal Care,6395,210,1342950,31.0,N,N,
Pune,2023-03-01,PC002,Meridian Conditioner 150ml,Personal Care,7044,210,1479240,31.0,N,N,
Pune,2023-04-01,PC002,Meridian Conditioner 150ml,Personal Care,8282,210,1739220,31.0,N,N,
Pune,2023-05-01,PC002,Meridian Conditioner 150ml,Personal Care,8612,210,1808520,31.0,N,N,
Pune,2023-06-01,PC002,Meridian Conditioner 150ml,Personal Care,6669,210,1400490,31.0,N,Y,Summer
Pune,2023-07-01,PC002,Meridian Conditioner 150ml,Personal Care,6556,210,1376760,31.0,N,N,
Pune,2023-08-01,PC002,Meridian Conditioner 150ml,Personal Care,7029,210,1476090,31.0,N,N,
Pune,2023-09-01,PC002,Meridian Conditioner 150ml,Personal Care,7164,210,1504440,31.0,N,N,
Pune,2023-10-01,PC002,Meridian Conditioner 150ml,Personal Care,11672,210,2451120,31.0,N,Y,Diwali
Pune,2023-11-01,PC002,Meridian Conditioner 150ml,Personal Care,10753,210,2258130,31.0,N,Y,Diwali
Pune,2023-12-01,PC002,Meridian Conditioner 150ml,Personal Care,8211,210,1724310,31.0,N,N,
Pune,2024-01-01,PC002,Meridian Conditioner 150ml,Personal Care,7575,210,1590750,31.0,N,Y,NewYear-PC
Pune,2024-02-01,PC002,Meridian Conditioner 150ml,Personal Care,7303,210,1533630,31.0,N,N,
Pune,2024-03-01,PC002,Meridian Conditioner 150ml,Personal Care,8031,210,1686510,31.0,N,N,
Pune,2024-04-01,PC002,Meridian Conditioner 150ml,Personal Care,8613,210,1808730,31.0,N,N,
Pune,2024-05-01,PC002,Meridian Conditioner 150ml,Personal Care,8671,210,1820910,31.0,N,N,
Pune,2024-06-01,PC002,Meridian Conditioner 150ml,Personal Care,7350,210,1543500,31.0,N,N,
Pune,2023-01-01,PC003,Meridian Face Wash 100g,Personal Care,10353,150,1552950,35.0,N,N,
Pune,2023-02-01,PC003,Meridian Face Wash 100g,Personal Care,9574,150,1436100,35.0,N,N,
Pune,2023-03-01,PC003,Meridian Face Wash 100g,Personal Care,10360,150,1554000,35.0,N,N,
Pune,2023-04-01,PC003,Meridian Face Wash 100g,Personal Care,10587,150,1588050,35.0,N,N,
Pune,2023-05-01,PC003,Meridian Face Wash 100g,Personal Care,12250,150,1837500,35.0,N,N,
Pune,2023-06-01,PC003,Meridian Face Wash 100g,Personal Care,9160,150,1374000,35.0,N,Y,Summer
Pune,2023-07-01,PC003,Meridian Face Wash 100g,Personal Care,9131,150,1369650,35.0,N,N,
Pune,2023-08-01,PC003,Meridian Face Wash 100g,Personal Care,9002,150,1350300,35.0,N,N,
Pune,2023-09-01,PC003,Meridian Face Wash 100g,Personal Care,10511,150,1576650,35.0,N,N,
Pune,2023-10-01,PC003,Meridian Face Wash 100g,Personal Care,16725,150,2508750,35.0,N,Y,Diwali
Pune,2023-11-01,PC003,Meridian Face Wash 100g,Personal Care,14558,150,2183700,35.0,N,Y,Diwali
Pune,2023-12-01,PC003,Meridian Face Wash 100g,Personal Care,11235,150,1685250,35.0,N,N,
