month,monthly_revenue_inr,total_monthly_cost,cumulative_revenue,cumulative_cost,cumulative_profit,city,scenario
1,2110093.1399625,3397300.0,2110093.1399625,3397300.0,-81287206.8600375,Nashik,Conservative
2,1909131.8885374998,3397300.0,4019225.0285,6794600.0,-82775374.9715,Nashik,Conservative
3,2009612.51425,3397300.0,6028837.54275,10191900.0,-84163062.45725,Nashik,Conservative
4,2210573.7656750004,2717300.0,8239411.308425,12909200.0,-84669788.691575,Nashik,Conservative
5,2311054.3913875,2717300.0,10550465.6998125,15626500.0,-85076034.3001875,Nashik,Conservative
6,1909131.8885374998,2717300.0,12459597.58835,18343800.0,-85884202.41165,Nashik,Conservative
7,2630765.4732,2037300.0,15090363.061549999,20381100.0,-85290736.93845001,Nashik,Conservative
8,2689226.9281599997,2037300.0,17779589.98971,22418400.0,-84638810.01029,Nashik,Conservative
9,2981534.20296,2037300.0,20761124.19267,24455700.0,-83694575.80733,Nashik,Conservative
10,4033840.392239999,2037300.0,24794964.584909998,26493000.0,-81698035.41509,Nashik,Conservative
11,3653840.9349999996,2037300.0,28448805.519909997,28530300.0,-80081494.48009,Nashik,Conservative
12,3215380.0228,2037300.0,31664185.542709995,30567600.0,-78903414.45729001,Nashik,Conservative
13,7033643.7998750005,2037300.0,38697829.342585,32604900.0,-73907070.657415,Nashik,Conservative
14,6363772.961791666,2037300.0,45061602.30437666,34642200.0,-69580597.69562334,Nashik,Conservative
15,6698708.380833333,2037300.0,51760310.68521,36679500.0,-64919189.31479,Nashik,Conservative
16,7368579.218916668,2037300.0,59128889.90412667,38716800.0,-59587910.09587333,Nashik,Conservative
17,7703514.637958333,2037300.0,66832404.542085,40754100.0,-53921695.457915,Nashik,Conservative
18,6363772.961791666,2037300.0,73196177.50387667,42791400.0,-49595222.49612333,Nashik,Conservative
19,6028837.54275,2037300.0,79225015.04662667,44828700.0,-45603684.95337333,Nashik,Conservative
20,6162811.710366667,2037300.0,85387826.75699334,46866000.0,-41478173.24300666,Nashik,Conservative
21,6832682.548450001,2037300.0,92220509.30544335,48903300.0,-36682790.69455665,Nashik,Conservative
22,9244217.56555,2037300.0,101464726.87099335,50940600.0,-29475873.129006654,Nashik,Conservative
23,8373385.476041667,2037300.0,109838112.34703502,52977900.0,-23139787.65296498,Nashik,Conservative
24,7368579.218916668,2037300.0,117206691.56595169,55015200.0,-17808508.43404831,Nashik,Conservative
25,10230754.618,2037300.0,127437446.18395169,57052500.0,-9615053.81604831,Nashik,Conservative
26,9256397.035333332,2037300.0,136693843.219285,59089800.0,-2395956.7807149887,Nashik,Conservative
27,9743575.826666666,2037300.0,146437419.04595166,61127100.0,5310319.045951664,Nashik,Conservative
28,10717933.409333333,2037300.0,157155352.455285,63164400.0,13990952.455285013,Nashik,Conservative
29,11205112.200666666,2037300.0,168360464.65595168,65201700.0,23158764.65595168,Nashik,Conservative
30,9256397.035333332,2037300.0,177616861.691285,67239000.0,30377861.691285014,Nashik,Conservative
31,8769218.243999999,2037300.0,186386079.935285,69276300.0,37109779.935285,Nashik,Conservative
32,8964089.760533333,2037300.0,195350169.69581833,71313600.0,44036569.695818335,Nashik,Conservative
33,9938447.3432,2037300.0,205288617.03901833,73350900.0,51937717.03901833,Nashik,Conservative
34,13446134.6408,2037300.0,218734751.67981833,75388200.0,63346551.67981833,Nashik,Conservative
