city,month,freight_cost,warehouse_cost,salesforce_cost,btl_cost,fixed_cost,total_monthly_cost
Nashik,1,51300,56000,140000,3000000.0,150000,3397300.0
Nashik,2,51300,56000,140000,3000000.0,150000,3397300.0
Nashik,3,51300,56000,140000,3000000.0,150000,3397300.0
Nashik,4,51300,56000,210000,2250000.0,150000,2717300.0
Nashik,5,51300,56000,210000,2250000.0,150000,2717300.0
Nashik,6,51300,56000,210000,2250000.0,150000,2717300.0
Nashik,7,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,8,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,9,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,10,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,11,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,12,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,13,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,14,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,15,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,16,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,17,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,18,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,19,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,20,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,21,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,22,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,23,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,24,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,25,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,26,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,27,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,28,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,29,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,30,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,31,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,32,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,33,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,34,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,35,51300,56000,280000,1500000.0,150000,2037300.0
Nashik,36,51300,56000,280000,1500000.0,150000,2037300.0
Nagpur,1,90150,44000,140000,3000000.0,150000,3424150.0
Nagpur,2,90150,44000,140000,3000000.0,150000,3424150.0
Nagpur,3,90150,44000,140000,3000000.0,150000,3424150.0
Nagpur,4,90150,44000,210000,2250000.0,150000,2744150.0
Nagpur,5,90150,44000,210000,2250000.0,150000,2744150.0
Nagpur,6,90150,44000,210000,2250000.0,150000,2744150.0
Nagpur,7,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,8,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,9,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,10,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,11,90150,44000,280000,1500000.0,150000,2064150.0
