city,scenario,month,year,market_share,ramp_factor,seasonal_mult,monthly_revenue_inr,monthly_revenue_lakh
Nashik,Conservative,1,1,0.03,0.55,1.05,2110093.1399625,21.100931399625
Nashik,Conservative,2,1,0.03,0.55,0.95,1909131.8885374998,19.091318885375
Nashik,Conservative,3,1,0.03,0.55,1.0,2009612.51425,20.0961251425
Nashik,Conservative,4,1,0.03,0.55,1.1,2210573.7656750004,22.105737656750005
Nashik,Conservative,5,1,0.03,0.55,1.15,2311054.3913875,23.110543913875
Nashik,Conservative,6,1,0.03,0.55,0.95,1909131.8885374998,19.091318885375
Nashik,Conservative,7,1,0.03,0.8,0.9,2630765.4732,26.307654732
Nashik,Conservative,8,1,0.03,0.8,0.92,2689226.9281599997,26.892269281599997
Nashik,Conservative,9,1,0.03,0.8,1.02,2981534.20296,29.8153420296
Nashik,Conservative,10,1,0.03,0.8,1.38,4033840.392239999,40.33840392239999
Nashik,Conservative,11,1,0.03,0.8,1.25,3653840.9349999996,36.538409349999995
Nashik,Conservative,12,1,0.03,0.8,1.1,3215380.0228,32.153800228
Nashik,Conservative,13,2,0.055,1.0,1.05,7033643.7998750005,70.33643799875
Nashik,Conservative,14,2,0.055,1.0,0.95,6363772.961791666,63.63772961791666
Nashik,Conservative,15,2,0.055,1.0,1.0,6698708.380833333,66.98708380833334
Nashik,Conservative,16,2,0.055,1.0,1.1,7368579.218916668,73.68579218916668
Nashik,Conservative,17,2,0.055,1.0,1.15,7703514.637958333,77.03514637958332
Nashik,Conservative,18,2,0.055,1.0,0.95,6363772.961791666,63.63772961791666
Nashik,Conservative,19,2,0.055,1.0,0.9,6028837.54275,60.2883754275
Nashik,Conservative,20,2,0.055,1.0,0.92,6162811.710366667,61.628117103666675
Nashik,Conservative,21,2,0.055,1.0,1.02,6832682.548450001,68.3268254845
Nashik,Conservative,22,2,0.055,1.0,1.38,9244217.56555,92.4421756555
Nashik,Conservative,23,2,0.055,1.0,1.25,8373385.476041667,83.73385476041668
Nashik,Conservative,24,2,0.055,1.0,1.1,7368579.218916668,73.68579218916668
Nashik,Conservative,25,3,0.08,1.0,1.05,10230754.618,102.30754618
Nashik,Conservative,26,3,0.08,1.0,0.95,9256397.035333332,92.56397035333332
Nashik,Conservative,27,3,0.08,1.0,1.0,9743575.826666666,97.43575826666667
Nashik,Conservative,28,3,0.08,1.0,1.1,10717933.409333333,107.17933409333334
Nashik,Conservative,29,3,0.08,1.0,1.15,11205112.200666666,112.05112200666666
Nashik,Conservative,30,3,0.08,1.0,0.95,9256397.035333332,92.56397035333332
Nashik,Conservative,31,3,0.08,1.0,0.9,8769218.243999999,87.69218244
Nashik,Conservative,32,3,0.08,1.0,0.92,8964089.760533333,89.64089760533332
Nashik,Conservative,33,3,0.08,1.0,1.02,9938447.3432,99.384473432
Nashik,Conservative,34,3,0.08,1.0,1.38,13446134.6408,134.461346408
Nashik,Conservative,35,3,0.08,1.0,1.25,12179469.783333333,121.79469783333333
Nashik,Conservative,36,3,0.08,1.0,1.1,10717933.409333333,107.17933409333334
Nashik,Base,1,1,0.05,0.65,1.05,4156244.0635625003,41.562440635625
Nashik,Base,2,1,0.05,0.65,0.95,3760411.2956041666,37.60411295604167
Nashik,Base,3,1,0.05,0.65,1.0,3958327.6795833334,39.583276795833335
Nashik,Base,4,1,0.05,0.65,1.1,4354160.447541667,43.54160447541667
Nashik,Base,5,1,0.05,0.65,1.15,4552076.831520833,45.52076831520833
Nashik,Base,6,1,0.05,0.65,0.95,3760411.2956041666,37.60411295604167
Nashik,Base,7,1,0.05,0.88,0.9,4823070.034200001,48.230700342000006
Nashik,Base,8,1,0.05,0.88,0.92,4930249.368293334,49.30249368293334
Nashik,Base,9,1,0.05,0.88,1.02,5466146.03876,54.6614603876
Nashik,Base,10,1,0.05,0.88,1.38,7395374.05244,73.9537405244
Nashik,Base,11,1,0.05,0.88,1.25,6698708.380833333,66.98708380833334
Nashik,Base,12,1,0.05,0.88,1.1,5894863.375133334,58.94863375133334
Nashik,Base,13,2,0.08,1.0,1.05,10230754.618,102.30754618
Nashik,Base,14,2,0.08,1.0,0.95,9256397.035333332,92.56397035333332
Nashik,Base,15,2,0.08,1.0,1.0,9743575.826666666,97.43575826666667
Nashik,Base,16,2,0.08,1.0,1.1,10717933.409333333,107.17933409333334
Nashik,Base,17,2,0.08,1.0,1.15,11205112.200666666,112.05112200666666
Nashik,Base,18,2,0.08,1.0,0.95,9256397.035333332,92.56397035333332
Nashik,Base,19,2,0.08,1.0,0.9,8769218.243999999,87.69218244
Nashik,Base,20,2,0.08,1.0,0.92,8964089.760533333,89.64089760533332
Nashik,Base,21,2,0.08,1.0,1.02,9938447.3432,99.384473432
Nashik,Base,22,2,0.08,1.0,1.38,13446134.6408,134.461346408
Nashik,Base,23,2,0.08,1.0,1.25,12179469.783333333,121.79469783333333
Nashik,Base,24,2,0.08,1.0,1.1,10717933.409333333,107.17933409333334
Nashik,Base,25,3,0.12,1.0,1.05,15346131.927,153.46131927
Nashik,Base,26,3,0.12,1.0,0.95,13884595.552999998,138.84595552999997
Nashik,Base,27,3,0.12,1.0,1.0,14615363.739999998,146.15363739999998
Nashik,Base,28,3,0.12,1.0,1.1,16076900.114,160.76900114
Nashik,Base,29,3,0.12,1.0,1.15,16807668.300999995,168.07668300999995
